name,price,rating,category,brand,specs,description
Apple Mobile Model 866,27049.65,4.7,Mobile,Apple,"128GB, A15 Bionic",Mobile product by Apple with features like 128GB.
Samsung Tablet Model 927,48266.1,4.9,Tablet,Samsung,"6GB RAM, 64GB, MediaTek",Tablet product by Samsung with features like 6GB RAM.
Toyota Vehicles Model 987,17082.35,4.8,Vehicles,Toyota,"2.0L Hybrid, 5 seats",Vehicles product by Toyota with features like 2.0L Hybrid.
Nabisco Food Model 859,31533.38,3.6,Food,Nabisco,"Family Pack, Chocolate",Food product by Nabisco with features like Family Pack.
Pepsi Food Model 872,29372.02,3.5,Food,Pepsi,"1.5L, Carbonated",Food product by Pepsi with features like 1.5L.
Puma Clothing Model 902,7510.07,3.7,Clothing,Puma,"Size: L, Polyester, Black",Clothing product by Puma with features like Size: L.
Microsoft Tablet Model 858,15437.55,4.8,Tablet,Microsoft,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Microsoft with features like 8GB RAM.
Apple Tablet Model 226,45537.74,3.8,Tablet,Apple,"6GB RAM, 64GB, MediaTek",Tablet product by Apple with features like 6GB RAM.
Sony Electronics Model 417,48909.28,4.4,Electronics,Sony,"4K UHD, HDR10, WebOS",Electronics product by Sony with features like 4K UHD.
Microsoft Tablet Model 749,19918.33,3.7,Tablet,Microsoft,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Microsoft with features like 8GB RAM.
Nike Clothing Model 109,20330.21,3.5,Clothing,Nike,"Size: L, Polyester, Black",Clothing product by Nike with features like Size: L.
Microsoft Tablet Model 864,30014.1,4.0,Tablet,Microsoft,"6GB RAM, 64GB, MediaTek",Tablet product by Microsoft with features like 6GB RAM.
Samsung Mobile Model 439,26316.46,4.2,Mobile,Samsung,"512GB, A17 Pro",Mobile product by Samsung with features like 512GB.
OnePlus Mobile Model 629,30551.7,4.2,Mobile,OnePlus,"512GB, A17 Pro",Mobile product by OnePlus with features like 512GB.
Bose Electronics Model 111,5490.69,4.2,Electronics,Bose,"Bluetooth Speaker, Waterproof",Electronics product by Bose with features like Bluetooth Speaker.
OnePlus Mobile Model 195,40634.81,5.0,Mobile,OnePlus,"256GB, Snapdragon 8 Gen1",Mobile product by OnePlus with features like 256GB.
Hasbro Toys Model 996,44744.19,4.1,Toys,Hasbro,"Plush Toy, 12 inch",Toys product by Hasbro with features like Plush Toy.
Nike Clothing Model 529,33482.42,4.6,Clothing,Nike,"Size: M, Cotton, White",Clothing product by Nike with features like Size: M.
Samsung Tablet Model 444,48850.58,4.3,Tablet,Samsung,"12GB RAM, 128GB, Snapdragon",Tablet product by Samsung with features like 12GB RAM.
Samsung Tablet Model 117,26937.61,4.5,Tablet,Samsung,"12GB RAM, 128GB, Snapdragon",Tablet product by Samsung with features like 12GB RAM.
Samsung Tablet Model 694,21661.59,3.9,Tablet,Samsung,"4GB RAM, 32GB, A12 Bionic",Tablet product by Samsung with features like 4GB RAM.
Puma Clothing Model 566,12890.7,3.6,Clothing,Puma,"Size: L, Polyester, Black",Clothing product by Puma with features like Size: L.
Lego Toys Model 512,23039.05,4.1,Toys,Lego,"Die-cast, Model 2023",Toys product by Lego with features like Die-cast.
Xiaomi Mobile Model 358,23537.31,4.6,Mobile,Xiaomi,"64GB, MediaTek",Mobile product by Xiaomi with features like 64GB.
Lego Toys Model 843,11671.78,3.8,Toys,Lego,"500 pieces, Multi-color",Toys product by Lego with features like 500 pieces.
Hot Wheels Toys Model 237,2596.64,3.8,Toys,Hot Wheels,"Die-cast, Model 2023",Toys product by Hot Wheels with features like Die-cast.
Nabisco Food Model 908,12976.66,4.7,Food,Nabisco,"1.5L, Carbonated",Food product by Nabisco with features like 1.5L.
Hot Wheels Toys Model 827,49840.42,3.7,Toys,Hot Wheels,"Board Game, 2-6 Players",Toys product by Hot Wheels with features like Board Game.
Coca-Cola Food Model 527,42746.16,4.1,Food,Coca-Cola,"1.5L, Carbonated",Food product by Coca-Cola with features like 1.5L.
Samsung Electronics Model 202,32087.95,4.4,Electronics,Samsung,"Noise Cancelling, Wireless",Electronics product by Samsung with features like Noise Cancelling.
Toyota Vehicles Model 292,21069.32,3.5,Vehicles,Toyota,"Electric, 358mi range, Autopilot",Vehicles product by Toyota with features like Electric.
Lenovo Tablet Model 841,2084.45,3.6,Tablet,Lenovo,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Lenovo with features like 8GB RAM.
Samsung Mobile Model 425,35669.89,4.3,Mobile,Samsung,"64GB, MediaTek",Mobile product by Samsung with features like 64GB.
Apple Mobile Model 462,19028.38,3.8,Mobile,Apple,"64GB, MediaTek",Mobile product by Apple with features like 64GB.
Coca-Cola Food Model 367,24300.84,4.4,Food,Coca-Cola,"1.5L, Carbonated",Food product by Coca-Cola with features like 1.5L.
Samsung Mobile Model 225,14264.77,3.8,Mobile,Samsung,"512GB, A17 Pro",Mobile product by Samsung with features like 512GB.
Coca-Cola Food Model 751,31503.52,4.0,Food,Coca-Cola,"Family Pack, Chocolate",Food product by Coca-Cola with features like Family Pack.
Ford Vehicles Model 649,6087.09,4.0,Vehicles,Ford,"1.5L Turbo, CVT",Vehicles product by Ford with features like 1.5L Turbo.
Pepsi Food Model 500,34378.78,3.7,Food,Pepsi,"500ml, Diet",Food product by Pepsi with features like 500ml.
Coca-Cola Food Model 163,37011.55,4.1,Food,Coca-Cola,"1.5L, Carbonated",Food product by Coca-Cola with features like 1.5L.
Hasbro Toys Model 239,25619.06,4.3,Toys,Hasbro,"500 pieces, Multi-color",Toys product by Hasbro with features like 500 pieces.
Tesla Vehicles Model 590,6777.53,4.5,Vehicles,Tesla,"1.5L Turbo, CVT",Vehicles product by Tesla with features like 1.5L Turbo.
Coca-Cola Food Model 144,2921.61,4.7,Food,Coca-Cola,"Family Pack, Chocolate",Food product by Coca-Cola with features like Family Pack.
Puma Clothing Model 792,48961.83,4.8,Clothing,Puma,"Size: S, Wool, Blue",Clothing product by Puma with features like Size: S.
Samsung Tablet Model 173,12600.74,4.2,Tablet,Samsung,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Samsung with features like 8GB RAM.
Honda Vehicles Model 977,2445.6,4.8,Vehicles,Honda,"1.5L Turbo, CVT",Vehicles product by Honda with features like 1.5L Turbo.
Under Armour Clothing Model 434,38253.24,4.9,Clothing,Under Armour,"Size: S, Wool, Blue",Clothing product by Under Armour with features like Size: S.
Apple Mobile Model 846,46428.77,4.3,Mobile,Apple,"256GB, Snapdragon 8 Gen1",Mobile product by Apple with features like 256GB.
Under Armour Clothing Model 345,24941.56,4.6,Clothing,Under Armour,"Size: M, Cotton, White",Clothing product by Under Armour with features like Size: M.
Samsung Mobile Model 600,38039.73,4.3,Mobile,Samsung,"512GB, A17 Pro",Mobile product by Samsung with features like 512GB.
Samsung Mobile Model 967,27079.45,4.4,Mobile,Samsung,"512GB, A17 Pro",Mobile product by Samsung with features like 512GB.
Lego Toys Model 839,44641.16,3.6,Toys,Lego,"500 pieces, Multi-color",Toys product by Lego with features like 500 pieces.
Pepsi Food Model 326,18010.2,4.6,Food,Pepsi,"100g, Milk Chocolate",Food product by Pepsi with features like 100g.
Coca-Cola Food Model 995,9435.27,4.0,Food,Coca-Cola,"1.5L, Carbonated",Food product by Coca-Cola with features like 1.5L.
LG Electronics Model 198,13120.73,3.7,Electronics,LG,"Bluetooth Speaker, Waterproof",Electronics product by LG with features like Bluetooth Speaker.
Hot Wheels Toys Model 855,29873.96,3.9,Toys,Hot Wheels,"500 pieces, Multi-color",Toys product by Hot Wheels with features like 500 pieces.
Tesla Vehicles Model 110,31556.53,4.7,Vehicles,Tesla,"Electric, 358mi range, Autopilot",Vehicles product by Tesla with features like Electric.
Honda Vehicles Model 825,45881.22,4.6,Vehicles,Honda,"V6 Engine, 4x4 Drive",Vehicles product by Honda with features like V6 Engine.
Samsung Electronics Model 420,30786.83,4.0,Electronics,Samsung,"4K UHD, HDR10, WebOS",Electronics product by Samsung with features like 4K UHD.
Samsung Electronics Model 326,5238.99,3.7,Electronics,Samsung,"4K UHD, HDR10, WebOS",Electronics product by Samsung with features like 4K UHD.
Lenovo Tablet Model 618,32058.97,4.6,Tablet,Lenovo,"12GB RAM, 128GB, Snapdragon",Tablet product by Lenovo with features like 12GB RAM.
Xiaomi Mobile Model 274,13736.4,3.9,Mobile,Xiaomi,"256GB, Snapdragon 8 Gen1",Mobile product by Xiaomi with features like 256GB.
OnePlus Mobile Model 149,32589.41,4.0,Mobile,OnePlus,"256GB, Snapdragon 8 Gen1",Mobile product by OnePlus with features like 256GB.
Puma Clothing Model 448,13849.72,3.8,Clothing,Puma,"Size: M, Cotton, White",Clothing product by Puma with features like Size: M.
Nabisco Food Model 304,48912.61,4.0,Food,Nabisco,"500ml, Diet",Food product by Nabisco with features like 500ml.
Nestle Food Model 166,45898.23,4.8,Food,Nestle,"100g, Milk Chocolate",Food product by Nestle with features like 100g.
Lenovo Tablet Model 785,173.59,4.3,Tablet,Lenovo,"4GB RAM, 32GB, A12 Bionic",Tablet product by Lenovo with features like 4GB RAM.
Microsoft Tablet Model 757,37294.75,4.3,Tablet,Microsoft,"4GB RAM, 32GB, A12 Bionic",Tablet product by Microsoft with features like 4GB RAM.
Under Armour Clothing Model 994,45900.74,5.0,Clothing,Under Armour,"Size: L, Polyester, Black",Clothing product by Under Armour with features like Size: L.
Nike Clothing Model 158,16446.72,4.5,Clothing,Nike,"Size: L, Polyester, Black",Clothing product by Nike with features like Size: L.
Nabisco Food Model 522,43968.13,4.1,Food,Nabisco,"100g, Milk Chocolate",Food product by Nabisco with features like 100g.
Mattel Toys Model 854,3912.58,4.0,Toys,Mattel,"Board Game, 2-6 Players",Toys product by Mattel with features like Board Game.
Lego Toys Model 646,28319.39,4.5,Toys,Lego,"Board Game, 2-6 Players",Toys product by Lego with features like Board Game.
Coca-Cola Food Model 564,3709.16,3.8,Food,Coca-Cola,"Family Pack, Chocolate",Food product by Coca-Cola with features like Family Pack.
Lenovo Tablet Model 787,24795.25,4.4,Tablet,Lenovo,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Lenovo with features like 8GB RAM.
Samsung Electronics Model 619,37225.69,4.5,Electronics,Samsung,"Bluetooth Speaker, Waterproof",Electronics product by Samsung with features like Bluetooth Speaker.
Pepsi Food Model 476,2324.57,4.7,Food,Pepsi,"100g, Milk Chocolate",Food product by Pepsi with features like 100g.
Nabisco Food Model 697,6723.12,4.4,Food,Nabisco,"1.5L, Carbonated",Food product by Nabisco with features like 1.5L.
Xiaomi Mobile Model 669,4855.03,4.8,Mobile,Xiaomi,"512GB, A17 Pro",Mobile product by Xiaomi with features like 512GB.
Honda Vehicles Model 939,32131.88,4.3,Vehicles,Honda,"V6 Engine, 4x4 Drive",Vehicles product by Honda with features like V6 Engine.
Mattel Toys Model 587,38228.21,4.9,Toys,Mattel,"500 pieces, Multi-color",Toys product by Mattel with features like 500 pieces.
Xiaomi Mobile Model 313,18474.68,5.0,Mobile,Xiaomi,"512GB, A17 Pro",Mobile product by Xiaomi with features like 512GB.
Apple Tablet Model 650,14372.96,3.9,Tablet,Apple,"6GB RAM, 64GB, MediaTek",Tablet product by Apple with features like 6GB RAM.
Tesla Vehicles Model 284,44230.68,3.6,Vehicles,Tesla,"1.5L Turbo, CVT",Vehicles product by Tesla with features like 1.5L Turbo.
OnePlus Mobile Model 874,1783.22,4.7,Mobile,OnePlus,"512GB, A17 Pro",Mobile product by OnePlus with features like 512GB.
Hasbro Toys Model 601,9933.19,4.3,Toys,Hasbro,"Die-cast, Model 2023",Toys product by Hasbro with features like Die-cast.
Coca-Cola Food Model 443,928.86,4.2,Food,Coca-Cola,"500ml, Diet",Food product by Coca-Cola with features like 500ml.
Xiaomi Mobile Model 119,2360.95,4.0,Mobile,Xiaomi,"256GB, Snapdragon 8 Gen1",Mobile product by Xiaomi with features like 256GB.
Hot Wheels Toys Model 887,15046.24,4.2,Toys,Hot Wheels,"Plush Toy, 12 inch",Toys product by Hot Wheels with features like Plush Toy.
OnePlus Mobile Model 487,44401.85,4.3,Mobile,OnePlus,"64GB, MediaTek",Mobile product by OnePlus with features like 64GB.
Nabisco Food Model 251,9985.55,4.5,Food,Nabisco,"1.5L, Carbonated",Food product by Nabisco with features like 1.5L.
Nestle Food Model 894,23237.3,4.6,Food,Nestle,"Family Pack, Chocolate",Food product by Nestle with features like Family Pack.
Nestle Food Model 906,42339.91,4.2,Food,Nestle,"100g, Milk Chocolate",Food product by Nestle with features like 100g.
Hot Wheels Toys Model 494,9283.01,4.7,Toys,Hot Wheels,"Board Game, 2-6 Players",Toys product by Hot Wheels with features like Board Game.
Sony Electronics Model 812,7696.86,3.9,Electronics,Sony,"Noise Cancelling, Wireless",Electronics product by Sony with features like Noise Cancelling.
Apple Tablet Model 975,21009.53,3.8,Tablet,Apple,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Apple with features like 8GB RAM.
Microsoft Tablet Model 796,8618.0,3.7,Tablet,Microsoft,"4GB RAM, 32GB, A12 Bionic",Tablet product by Microsoft with features like 4GB RAM.
Honda Vehicles Model 558,40851.42,4.2,Vehicles,Honda,"1.5L Turbo, CVT",Vehicles product by Honda with features like 1.5L Turbo.
Samsung Electronics Model 660,36185.92,4.5,Electronics,Samsung,"Bluetooth Speaker, Waterproof",Electronics product by Samsung with features like Bluetooth Speaker.
LG Electronics Model 598,17133.8,4.6,Electronics,LG,"Bluetooth Speaker, Waterproof",Electronics product by LG with features like Bluetooth Speaker.
Lenovo Tablet Model 478,32977.14,4.0,Tablet,Lenovo,"4GB RAM, 32GB, A12 Bionic",Tablet product by Lenovo with features like 4GB RAM.
Tesla Vehicles Model 725,46469.43,4.0,Vehicles,Tesla,"2.0L Hybrid, 5 seats",Vehicles product by Tesla with features like 2.0L Hybrid.
Mattel Toys Model 967,46241.17,4.7,Toys,Mattel,"Plush Toy, 12 inch",Toys product by Mattel with features like Plush Toy.
Samsung Electronics Model 663,37193.7,4.2,Electronics,Samsung,"1080p Full HD, Android TV",Electronics product by Samsung with features like 1080p Full HD.
Apple Mobile Model 527,36743.89,4.7,Mobile,Apple,"512GB, A17 Pro",Mobile product by Apple with features like 512GB.
OnePlus Mobile Model 796,2961.04,3.8,Mobile,OnePlus,"128GB, A15 Bionic",Mobile product by OnePlus with features like 128GB.
Nike Clothing Model 592,14708.95,3.5,Clothing,Nike,"Size: XL, Cotton, Red",Clothing product by Nike with features like Size: XL.
Puma Clothing Model 469,22916.78,4.9,Clothing,Puma,"Size: XL, Cotton, Red",Clothing product by Puma with features like Size: XL.
Apple Tablet Model 883,5102.84,4.6,Tablet,Apple,"4GB RAM, 32GB, A12 Bionic",Tablet product by Apple with features like 4GB RAM.
Lenovo Tablet Model 385,27536.61,4.6,Tablet,Lenovo,"12GB RAM, 128GB, Snapdragon",Tablet product by Lenovo with features like 12GB RAM.
Under Armour Clothing Model 181,36379.54,5.0,Clothing,Under Armour,"Size: XL, Cotton, Red",Clothing product by Under Armour with features like Size: XL.
Lenovo Tablet Model 400,44191.14,4.0,Tablet,Lenovo,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Lenovo with features like 8GB RAM.
OnePlus Mobile Model 647,38899.84,4.6,Mobile,OnePlus,"128GB, A15 Bionic",Mobile product by OnePlus with features like 128GB.
Samsung Tablet Model 508,2673.78,4.2,Tablet,Samsung,"6GB RAM, 64GB, MediaTek",Tablet product by Samsung with features like 6GB RAM.
Adidas Clothing Model 560,37261.21,3.8,Clothing,Adidas,"Size: S, Wool, Blue",Clothing product by Adidas with features like Size: S.
Ford Vehicles Model 151,22540.33,4.3,Vehicles,Ford,"V6 Engine, 4x4 Drive",Vehicles product by Ford with features like V6 Engine.
Hasbro Toys Model 290,32515.3,4.2,Toys,Hasbro,"Plush Toy, 12 inch",Toys product by Hasbro with features like Plush Toy.
Toyota Vehicles Model 176,37378.96,4.7,Vehicles,Toyota,"Electric, 358mi range, Autopilot",Vehicles product by Toyota with features like Electric.
Nestle Food Model 112,9204.51,4.1,Food,Nestle,"100g, Milk Chocolate",Food product by Nestle with features like 100g.
LG Electronics Model 988,14873.41,4.1,Electronics,LG,"1080p Full HD, Android TV",Electronics product by LG with features like 1080p Full HD.
Adidas Clothing Model 610,8300.24,4.4,Clothing,Adidas,"Size: L, Polyester, Black",Clothing product by Adidas with features like Size: L.
Apple Tablet Model 924,21470.02,4.4,Tablet,Apple,"12GB RAM, 128GB, Snapdragon",Tablet product by Apple with features like 12GB RAM.
Lenovo Tablet Model 248,34482.45,4.0,Tablet,Lenovo,"6GB RAM, 64GB, MediaTek",Tablet product by Lenovo with features like 6GB RAM.
Xiaomi Mobile Model 330,12382.85,4.0,Mobile,Xiaomi,"64GB, MediaTek",Mobile product by Xiaomi with features like 64GB.
Adidas Clothing Model 657,45456.29,4.2,Clothing,Adidas,"Size: XL, Cotton, Red",Clothing product by Adidas with features like Size: XL.
Adidas Clothing Model 547,17619.57,4.8,Clothing,Adidas,"Size: M, Cotton, White",Clothing product by Adidas with features like Size: M.
Apple Tablet Model 767,28791.27,3.7,Tablet,Apple,"6GB RAM, 64GB, MediaTek",Tablet product by Apple with features like 6GB RAM.
Hot Wheels Toys Model 569,39318.15,4.9,Toys,Hot Wheels,"Plush Toy, 12 inch",Toys product by Hot Wheels with features like Plush Toy.
Hasbro Toys Model 784,47384.09,4.7,Toys,Hasbro,"Plush Toy, 12 inch",Toys product by Hasbro with features like Plush Toy.
Tesla Vehicles Model 557,39721.85,4.9,Vehicles,Tesla,"2.0L Hybrid, 5 seats",Vehicles product by Tesla with features like 2.0L Hybrid.
Apple Mobile Model 406,49933.68,3.6,Mobile,Apple,"128GB, A15 Bionic",Mobile product by Apple with features like 128GB.
Samsung Electronics Model 508,19279.04,3.6,Electronics,Samsung,"1080p Full HD, Android TV",Electronics product by Samsung with features like 1080p Full HD.
Xiaomi Mobile Model 552,27468.48,3.7,Mobile,Xiaomi,"128GB, A15 Bionic",Mobile product by Xiaomi with features like 128GB.
Adidas Clothing Model 906,28432.79,3.6,Clothing,Adidas,"Size: L, Polyester, Black",Clothing product by Adidas with features like Size: L.
Nike Clothing Model 328,37202.56,3.8,Clothing,Nike,"Size: XL, Cotton, Red",Clothing product by Nike with features like Size: XL.
LG Electronics Model 694,9241.68,3.6,Electronics,LG,"1080p Full HD, Android TV",Electronics product by LG with features like 1080p Full HD.
Nestle Food Model 492,45614.14,4.2,Food,Nestle,"1.5L, Carbonated",Food product by Nestle with features like 1.5L.
Coca-Cola Food Model 575,27388.36,3.6,Food,Coca-Cola,"Family Pack, Chocolate",Food product by Coca-Cola with features like Family Pack.
Microsoft Tablet Model 362,20004.39,4.4,Tablet,Microsoft,"12GB RAM, 128GB, Snapdragon",Tablet product by Microsoft with features like 12GB RAM.
Nabisco Food Model 742,5781.96,4.8,Food,Nabisco,"100g, Milk Chocolate",Food product by Nabisco with features like 100g.
Honda Vehicles Model 496,20513.26,3.8,Vehicles,Honda,"V6 Engine, 4x4 Drive",Vehicles product by Honda with features like V6 Engine.
Apple Mobile Model 982,35169.21,4.2,Mobile,Apple,"64GB, MediaTek",Mobile product by Apple with features like 64GB.
Coca-Cola Food Model 601,28530.82,4.6,Food,Coca-Cola,"Family Pack, Chocolate",Food product by Coca-Cola with features like Family Pack.
Nestle Food Model 476,26246.79,4.7,Food,Nestle,"Family Pack, Chocolate",Food product by Nestle with features like Family Pack.
OnePlus Mobile Model 376,41249.31,4.3,Mobile,OnePlus,"64GB, MediaTek",Mobile product by OnePlus with features like 64GB.
Honda Vehicles Model 855,46891.4,4.9,Vehicles,Honda,"Electric, 358mi range, Autopilot",Vehicles product by Honda with features like Electric.
Apple Mobile Model 308,29994.31,4.5,Mobile,Apple,"128GB, A15 Bionic",Mobile product by Apple with features like 128GB.
Ford Vehicles Model 428,15805.03,3.8,Vehicles,Ford,"1.5L Turbo, CVT",Vehicles product by Ford with features like 1.5L Turbo.
Nabisco Food Model 540,17850.76,4.4,Food,Nabisco,"Family Pack, Chocolate",Food product by Nabisco with features like Family Pack.
Lenovo Tablet Model 879,15056.12,4.6,Tablet,Lenovo,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Lenovo with features like 8GB RAM.
Apple Tablet Model 994,24412.02,3.9,Tablet,Apple,"6GB RAM, 64GB, MediaTek",Tablet product by Apple with features like 6GB RAM.
Hot Wheels Toys Model 488,11093.83,3.8,Toys,Hot Wheels,"Board Game, 2-6 Players",Toys product by Hot Wheels with features like Board Game.
Nabisco Food Model 394,34098.23,5.0,Food,Nabisco,"1.5L, Carbonated",Food product by Nabisco with features like 1.5L.
OnePlus Mobile Model 485,19906.03,4.6,Mobile,OnePlus,"256GB, Snapdragon 8 Gen1",Mobile product by OnePlus with features like 256GB.
LG Electronics Model 804,40249.06,4.6,Electronics,LG,"Noise Cancelling, Wireless",Electronics product by LG with features like Noise Cancelling.
Toyota Vehicles Model 899,43625.12,4.2,Vehicles,Toyota,"Electric, 358mi range, Autopilot",Vehicles product by Toyota with features like Electric.
Mattel Toys Model 323,36003.24,3.9,Toys,Mattel,"500 pieces, Multi-color",Toys product by Mattel with features like 500 pieces.
Hasbro Toys Model 654,10148.77,4.0,Toys,Hasbro,"Plush Toy, 12 inch",Toys product by Hasbro with features like Plush Toy.
Nestle Food Model 700,23999.45,3.8,Food,Nestle,"1.5L, Carbonated",Food product by Nestle with features like 1.5L.
Honda Vehicles Model 787,37227.28,4.7,Vehicles,Honda,"Electric, 358mi range, Autopilot",Vehicles product by Honda with features like Electric.
Under Armour Clothing Model 334,7412.36,4.8,Clothing,Under Armour,"Size: L, Polyester, Black",Clothing product by Under Armour with features like Size: L.
Samsung Mobile Model 331,30552.59,4.6,Mobile,Samsung,"128GB, A15 Bionic",Mobile product by Samsung with features like 128GB.
Tesla Vehicles Model 140,40008.53,4.6,Vehicles,Tesla,"1.5L Turbo, CVT",Vehicles product by Tesla with features like 1.5L Turbo.
Tesla Vehicles Model 509,23181.94,4.9,Vehicles,Tesla,"2.0L Hybrid, 5 seats",Vehicles product by Tesla with features like 2.0L Hybrid.
OnePlus Mobile Model 691,38108.13,3.9,Mobile,OnePlus,"64GB, MediaTek",Mobile product by OnePlus with features like 64GB.
Lenovo Tablet Model 807,44924.57,4.1,Tablet,Lenovo,"12GB RAM, 128GB, Snapdragon",Tablet product by Lenovo with features like 12GB RAM.
Pepsi Food Model 298,15446.25,4.8,Food,Pepsi,"500ml, Diet",Food product by Pepsi with features like 500ml.
Apple Tablet Model 143,13995.97,4.2,Tablet,Apple,"12GB RAM, 128GB, Snapdragon",Tablet product by Apple with features like 12GB RAM.
Hasbro Toys Model 264,2347.73,4.4,Toys,Hasbro,"Board Game, 2-6 Players",Toys product by Hasbro with features like Board Game.
Puma Clothing Model 396,16300.22,3.9,Clothing,Puma,"Size: M, Cotton, White",Clothing product by Puma with features like Size: M.
LG Electronics Model 572,11575.67,4.0,Electronics,LG,"Bluetooth Speaker, Waterproof",Electronics product by LG with features like Bluetooth Speaker.
LG Electronics Model 476,18327.61,5.0,Electronics,LG,"1080p Full HD, Android TV",Electronics product by LG with features like 1080p Full HD.
Apple Tablet Model 743,5252.06,4.5,Tablet,Apple,"6GB RAM, 64GB, MediaTek",Tablet product by Apple with features like 6GB RAM.
Nike Clothing Model 710,25212.07,3.6,Clothing,Nike,"Size: L, Polyester, Black",Clothing product by Nike with features like Size: L.
Lenovo Tablet Model 446,32350.83,4.2,Tablet,Lenovo,"4GB RAM, 32GB, A12 Bionic",Tablet product by Lenovo with features like 4GB RAM.
Microsoft Tablet Model 128,5635.18,3.7,Tablet,Microsoft,"12GB RAM, 128GB, Snapdragon",Tablet product by Microsoft with features like 12GB RAM.
Microsoft Tablet Model 393,21508.46,4.3,Tablet,Microsoft,"6GB RAM, 64GB, MediaTek",Tablet product by Microsoft with features like 6GB RAM.
Pepsi Food Model 360,28435.14,4.3,Food,Pepsi,"Family Pack, Chocolate",Food product by Pepsi with features like Family Pack.
Coca-Cola Food Model 594,3408.4,4.4,Food,Coca-Cola,"1.5L, Carbonated",Food product by Coca-Cola with features like 1.5L.
Lenovo Tablet Model 672,29141.22,4.7,Tablet,Lenovo,"12GB RAM, 128GB, Snapdragon",Tablet product by Lenovo with features like 12GB RAM.
Nike Clothing Model 850,43534.22,3.9,Clothing,Nike,"Size: M, Cotton, White",Clothing product by Nike with features like Size: M.
Adidas Clothing Model 389,10977.37,4.8,Clothing,Adidas,"Size: M, Cotton, White",Clothing product by Adidas with features like Size: M.
LG Electronics Model 261,9084.73,4.6,Electronics,LG,"4K UHD, HDR10, WebOS",Electronics product by LG with features like 4K UHD.
Nike Clothing Model 830,33065.51,4.7,Clothing,Nike,"Size: L, Polyester, Black",Clothing product by Nike with features like Size: L.
Xiaomi Mobile Model 781,27190.0,4.7,Mobile,Xiaomi,"256GB, Snapdragon 8 Gen1",Mobile product by Xiaomi with features like 256GB.
Mattel Toys Model 437,3415.24,4.3,Toys,Mattel,"Die-cast, Model 2023",Toys product by Mattel with features like Die-cast.
Bose Electronics Model 681,46398.36,3.9,Electronics,Bose,"4K UHD, HDR10, WebOS",Electronics product by Bose with features like 4K UHD.
LG Electronics Model 944,25729.98,4.8,Electronics,LG,"1080p Full HD, Android TV",Electronics product by LG with features like 1080p Full HD.
Pepsi Food Model 503,24446.77,3.6,Food,Pepsi,"500ml, Diet",Food product by Pepsi with features like 500ml.
Nabisco Food Model 902,42899.45,3.9,Food,Nabisco,"1.5L, Carbonated",Food product by Nabisco with features like 1.5L.
LG Electronics Model 997,33454.79,4.4,Electronics,LG,"Noise Cancelling, Wireless",Electronics product by LG with features like Noise Cancelling.
Apple Tablet Model 317,39315.82,3.8,Tablet,Apple,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Apple with features like 8GB RAM.
Samsung Electronics Model 775,25078.25,4.5,Electronics,Samsung,"Noise Cancelling, Wireless",Electronics product by Samsung with features like Noise Cancelling.
Samsung Tablet Model 713,13402.81,4.4,Tablet,Samsung,"12GB RAM, 128GB, Snapdragon",Tablet product by Samsung with features like 12GB RAM.
Apple Mobile Model 302,26217.39,3.7,Mobile,Apple,"64GB, MediaTek",Mobile product by Apple with features like 64GB.
Hot Wheels Toys Model 976,40707.48,4.8,Toys,Hot Wheels,"Plush Toy, 12 inch",Toys product by Hot Wheels with features like Plush Toy.
Ford Vehicles Model 247,10150.18,3.8,Vehicles,Ford,"V6 Engine, 4x4 Drive",Vehicles product by Ford with features like V6 Engine.
Coca-Cola Food Model 211,45204.52,3.9,Food,Coca-Cola,"100g, Milk Chocolate",Food product by Coca-Cola with features like 100g.
Hot Wheels Toys Model 160,26801.07,4.4,Toys,Hot Wheels,"Die-cast, Model 2023",Toys product by Hot Wheels with features like Die-cast.
Under Armour Clothing Model 388,38528.2,3.7,Clothing,Under Armour,"Size: S, Wool, Blue",Clothing product by Under Armour with features like Size: S.
Puma Clothing Model 558,41447.33,3.7,Clothing,Puma,"Size: L, Polyester, Black",Clothing product by Puma with features like Size: L.
Apple Mobile Model 582,8113.31,4.5,Mobile,Apple,"256GB, Snapdragon 8 Gen1",Mobile product by Apple with features like 256GB.
Mattel Toys Model 659,40575.38,4.3,Toys,Mattel,"Die-cast, Model 2023",Toys product by Mattel with features like Die-cast.
OnePlus Mobile Model 941,3992.98,3.9,Mobile,OnePlus,"128GB, A15 Bionic",Mobile product by OnePlus with features like 128GB.
Tesla Vehicles Model 385,14097.78,3.9,Vehicles,Tesla,"Electric, 358mi range, Autopilot",Vehicles product by Tesla with features like Electric.
Coca-Cola Food Model 209,20440.67,4.7,Food,Coca-Cola,"1.5L, Carbonated",Food product by Coca-Cola with features like 1.5L.
Nabisco Food Model 994,15721.07,3.6,Food,Nabisco,"100g, Milk Chocolate",Food product by Nabisco with features like 100g.
